Data,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2020-09-08,25,136,318,301,322,49,317,80,851,132,853,154,170,282,69,125,1404,550,920,785,651,321,1453,933,1562,1278,238
2020-09-09,174,252,736,1248,637,203,461,226,2274,1045,1076,867,989,938,256,150,1076,3074,2585,692,1852,500,7793,969,3350,1411,982
2020-09-10,209,278,701,1253,424,350,1213,238,2239,1137,729,768,1040,1006,384,265,2000,3816,1194,868,4018,940,8178,923,4252,1433,701
2020-09-11,127,136,763,1367,418,247,758,110,2182,1119,1026,523,1024,717,359,259,2335,2083,1525,675,3616,5640,8055,918,3877,1601,2258
2020-09-12,144,124,516,1227,324,246,740,588,2156,1197,482,688,770,860,167,120,2245,2789,1363,541,4041,323,7881,1097,1785,742,367
2020-09-13,18,64,193,721,122,130,327,202,852,374,107,255,259,311,255,68,1258,639,681,194,2073,1715,1567,1191,544,242,406
2020-09-14,10,102,275,430,262,67,313,102,718,350,415,202,181,142,60,213,649,1004,895,703,1734,319,1092,1084,2338,1164,331
2020-09-15,111,162,743,1512,514,303,690,263,2213,1273,804,740,1016,675,287,157,1000,3033,1601,665,1609,1608,7922,826,4628,1409,889
2020-09-16,176,149,701,1182,359,316,546,388,2237,1334,968,679,699,746,286,139,1510,3433,1441,792,2989,1764,8157,1076,2683,1404,666
2020-09-17,253,106,650,958,539,234,412,52,1970,1032,729,777,757,712,389,218,2469,3408,1252,763,3406,661,7393,1021,4054,1257,831
2020-09-18,226,229,858,762,337,294,815,263,2364,1164,1081,607,910,772,333,104,2123,2968,1232,801,3184,2955,7711,1075,4125,1481,1023
2020-09-19,119,137,1214,985,202,396,669,652,2191,998,753,622,807,618,308,108,1557,3391,1084,448,2824,1463,7141,1177,1930,614,649
2020-09-20,18,125,184,314,166,214,256,558,1093,218,324,148,475,309,221,101,1409,637,370,571,2044,648,3627,653,959,365,382
2020-09-21,27,83,163,256,404,28,121,212,693,302,291,143,260,247,33,200,606,572,712,807,1141,137,2032,806,1544,1434,185
2020-09-22,140,189,767,864,514,212,729,288,1809,1102,965,616,711,738,242,120,2184,2136,1360,769,2039,1710,8090,794,2160,1362,926
2020-09-23,151,229,726,1382,525,377,514,551,1610,878,777,553,677,675,302,160,1245,1951,1208,739,3081,1129,6551,703,4638,1297,652
2020-09-24,159,152,876,1281,175,297,567,194,1833,1008,496,519,538,771,298,250,1585,1781,1148,722,2587,3100,6267,893,3261,1244,815
2020-09-25,154,141,916,1240,251,258,640,184,1810,39,737,567,565,598,272,124,1424,1898,1057,937,4578,1503,6681,950,2439,1178,770
2020-09-26,149,88,964,1284,191,207,522,187,2128,1421,557,597,672,780,169,190,2079,2004,986,445,2871,182,5967,713,1744,643,638
